Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
120,07/05/17 08:00:00,07/05/17 12:00:00,1.259907E+003,9.422982E+002,3.158028E+002,1.806508E+000,3.882433E+001,4.693187E+001,2.559856E+001,4.916007E+001
121,07/05/17 08:00:00,07/05/17 12:00:00,7.557096E+002,6.962888E+002,5.743518E+001,1.985667E+000,2.328736E+001,3.467918E+001,4.655620E+000,5.403547E+001
122,07/05/17 08:00:00,07/05/17 12:00:00,2.894102E+002,2.834798E+002,3.291851E+000,2.638574E+000,8.918240E+000,1.411892E+001,2.668331E-001,7.180288E+001
123,07/05/17 08:00:00,07/05/17 12:00:00,8.919717E+002,6.746946E+002,2.150486E+002,2.228473E+000,2.748631E+001,3.360367E+001,1.743156E+001,6.064290E+001
124,07/05/17 08:00:00,07/05/17 12:00:00,1.760213E+003,1.050333E+003,7.081652E+002,1.714372E+000,5.424136E+001,5.231264E+001,5.740293E+001,4.665279E+001
125,07/05/17 08:00:00,07/05/17 12:00:00,1.022845E+003,8.986161E+002,1.224725E+002,1.756473E+000,3.151920E+001,4.475625E+001,9.927463E+000,4.779848E+001
126,07/05/17 08:00:00,07/05/17 12:00:00,1.070067E+003,1.004054E+003,6.439921E+001,1.612995E+000,3.297434E+001,5.000768E+001,5.220115E+000,4.389404E+001
127,07/05/17 08:00:00,07/05/17 12:00:00,1.240372E+003,1.188320E+003,5.063603E+001,1.416345E+000,3.822234E+001,5.918515E+001,4.104490E+000,3.854265E+001
128,07/05/17 08:00:00,07/05/17 12:00:00,1.400921E+003,1.322922E+003,7.678898E+001,1.210233E+000,4.316971E+001,6.588913E+001,6.224413E+000,3.293377E+001
129,07/05/17 08:00:00,07/05/17 12:00:00,1.651774E+003,1.374865E+003,2.757704E+002,1.139254E+000,5.089980E+001,6.847616E+001,2.235358E+001,3.100224E+001
130,07/05/17 08:00:00,07/05/17 12:00:00,1.059926E+003,1.058325E+003,0.000000E+000,1.601432E+000,3.266187E+001,5.271067E+001,0.000000E+000,4.357938E+001
131,07/05/17 08:00:00,07/05/17 12:00:00,1.519774E+003,9.257333E+002,5.922174E+002,1.822839E+000,4.683216E+001,4.610684E+001,4.800436E+001,4.960447E+001
132,07/05/17 08:00:00,07/05/17 12:00:00,1.099374E+003,1.097821E+003,0.000000E+000,1.553586E+000,3.387746E+001,5.467778E+001,0.000000E+000,4.227737E+001
133,07/05/17 08:00:00,07/05/17 12:00:00,8.360930E+002,8.342709E+002,0.000000E+000,1.822082E+000,2.576439E+001,4.155149E+001,0.000000E+000,4.958388E+001
134,07/05/17 08:00:00,07/05/17 12:00:00,1.236837E+003,1.131143E+003,1.041908E+002,1.502537E+000,3.811340E+001,5.633744E+001,8.445571E+000,4.088819E+001
135,07/05/17 08:00:00,07/05/17 12:00:00,2.532607E+003,1.833107E+003,6.991813E+002,3.180127E-001,7.804284E+001,9.129929E+001,5.667471E+001,8.654004E+000
136,07/05/17 08:00:00,07/05/17 12:00:00,2.320116E+003,1.587901E+003,7.314499E+002,7.659060E-001,7.149491E+001,7.908659E+001,5.929036E+001,2.084242E+001
137,07/05/17 08:00:00,07/05/17 12:00:00,1.292085E+003,1.272144E+003,1.863213E+001,1.309627E+000,3.981590E+001,6.336007E+001,1.510296E+000,3.563856E+001
138,07/05/17 08:00:00,07/05/17 12:00:00,1.543684E+003,9.646791E+002,5.771768E+002,1.828054E+000,4.756896E+001,4.804657E+001,4.678519E+001,4.974640E+001
139,07/05/17 08:00:00,07/05/17 12:00:00,8.509152E+002,8.423427E+002,6.778230E+000,1.794357E+000,2.622114E+001,4.195351E+001,5.494344E-001,4.882942E+001
140,07/05/17 08:00:00,07/05/17 12:00:00,8.172258E+002,7.798159E+002,3.560434E+001,1.805597E+000,2.518300E+001,3.883931E+001,2.886041E+000,4.913528E+001
141,07/05/17 08:00:00,07/05/17 12:00:00,1.776684E+003,1.127960E+003,6.471617E+002,1.562446E+000,5.474893E+001,5.617890E+001,5.245808E+001,4.251846E+001
142,07/05/17 08:00:00,07/05/17 12:00:00,8.414483E+002,7.586029E+002,8.095270E+001,1.892708E+000,2.592942E+001,3.778279E+001,6.561919E+000,5.150581E+001
143,07/05/17 08:00:00,07/05/17 12:00:00,7.332600E+002,6.412276E+002,8.995335E+001,2.079081E+000,2.259557E+001,3.193682E+001,7.291500E+000,5.657753E+001
144,07/05/17 08:00:00,07/05/17 12:00:00,4.667512E+002,4.259036E+002,3.839825E+001,2.449270E+000,1.438304E+001,2.121245E+001,3.112511E+000,6.665140E+001
